URL	Nombre	Precio	Descripción	Materiales	Medidas S	Medidas M	Medidas L	Tallas disponibles	Error
https://www.imanofficial.com/productos/campera-hailey/	No encontrado	No encontrado	Tela: Jean con piel sintética Colección Iman Exclusive Medidas de Campera: S M L XL XXL Largo Manga 56 57 58 59 60 Largo Total 62 63 64 65 66 Ancho Busto 60 62 64 66 68 Ancho Cintura 54 56 58 60 62 TALLE 34-XS 36-S 38-M 40-L 42-XL 44-XXL Contorno de busto 86-90 90-94 94-98 98-102 104-106 110-112 Tiro alto: contorno cintura 68 72 76 80 84 88 Tiro medio: contorno cintura 72 86 80 84 88 92 Tiro bajo: contorno cintura 76 80 84 88 92 96 Contorno de cadera 92-94 96-98 100-102 104-106 110-112 116-118 Altura 158-162 162-166 166-170 170-174 176-178 178-182	No especificado	{}	{}	{}	['S', 'M', 'L']	
https://www.imanofficial.com/productos/tapado-soft-largo1/	No encontrado	No encontrado	Tela: piel sintética Colección Iman Exclusive Nuestro tapado largo es la opción perfecta para crear looks modernos y cómodos. Su tejido suave y elástico se adapta a tu cuerpo, mientras que los bolsillos laterales y los botones de pasta le dan un toque funcional. Combínalo con jeans y botines para un look casual y urbano, o con un vestido y botas altas para un estilo más sofisticado. LARGO POR TALLE (medida tomada desde el hombro) S: 115 cm / M: 116 cm / L: 117 cm / XL: 118 cm TALLE 34-XS 36-S 38-M 40-L 42-XL 44-XXL Contorno de busto 86-90 90-94 94-98 98-102 104-106 110-112 Tiro alto: contorno cintura 68 72 76 80 84 88 Tiro medio: contorno cintura 72 86 80 84 88 92 Tiro bajo: contorno cintura 76 80 84 88 92 96 Contorno de cadera 92-94 96-98 100-102 104-106 110-112 116-118 Altura 158-162 162-166 166-170 170-174 176-178 178-182	No especificado	{}	{}	{}	['S', 'M', 'L']	
https://www.imanofficial.com/productos/bufanda-glen/	No encontrado	No encontrado	Tela: paño Bufanda de paño , suave y elegante. Un accesorio clásico con acabado refinado que aporta calidez y estilo a cualquier look, ideal para días frescos y noches sofisticadas.	No especificado	{}	{}	{}	['S', 'M', 'L']	
https://www.imanofficial.com/productos/tapado-soft-corto2/	No encontrado	No encontrado	Tela: piel sintética Colección Iman Exclusive Nuestro tapado corto es la opción perfecta para crear looks modernos y cómodos. Su tejido suave y elástico se adapta a tu cuerpo, mientras que los bolsillos laterales y los botones de pasta le dan un toque funcional. Combínalo con jeans y botines para un look casual y urbano, o con un vestido y botas altas para un estilo más sofisticado. LARGO POR TALLE (medida tomada desde el hombro) S: 56 cm / M: 57 cm / L: 58 cm / XL: 59 cm TALLE 34-XS 36-S 38-M 40-L 42-XL 44-XXL Contorno de busto 86-90 90-94 94-98 98-102 104-106 110-112 Tiro alto: contorno cintura 68 72 76 80 84 88 Tiro medio: contorno cintura 72 86 80 84 88 92 Tiro bajo: contorno cintura 76 80 84 88 92 96 Contorno de cadera 92-94 96-98 100-102 104-106 110-112 116-118 Altura 158-162 162-166 166-170 170-174 176-178 178-182	No especificado	{}	{}	{}	['S', 'M', 'L']	
https://www.imanofficial.com/productos/tapado-soft-corto1/	No encontrado	No encontrado	Tela: piel sintética Colección Iman Exclusive Nuestro tapado corto es la opción perfecta para crear looks modernos y cómodos. Su tejido suave y elástico se adapta a tu cuerpo, mientras que los bolsillos laterales y los botones de pasta le dan un toque funcional. Combínalo con jeans y botines para un look casual y urbano, o con un vestido y botas altas para un estilo más sofisticado. LARGO POR TALLE (medida tomada desde el hombro) S: 56 cm / M: 57 cm / L: 58 cm / XL: 59 cm TALLE 34-XS 36-S 38-M 40-L 42-XL 44-XXL Contorno de busto 86-90 90-94 94-98 98-102 104-106 110-112 Tiro alto: contorno cintura 68 72 76 80 84 88 Tiro medio: contorno cintura 72 86 80 84 88 92 Tiro bajo: contorno cintura 76 80 84 88 92 96 Contorno de cadera 92-94 96-98 100-102 104-106 110-112 116-118 Altura 158-162 162-166 166-170 170-174 176-178 178-182	No especificado	{}	{}	{}	['S', 'M', 'L']	
https://www.imanofficial.com/productos/vestido-trim-wild/	No encontrado	No encontrado	Tela: lycra liviana estampada Vestido animal print confeccionado en lycra liviana, de calce ajustado y textura suave. Ideal para un look audaz y cómodo, perfecto para salir o una ocasión especial. TALLE 34-XS 36-S 38-M 40-L 42-XL 44-XXL Contorno de busto 86-90 90-94 94-98 98-102 104-106 110-112 Tiro alto: contorno cintura 68 72 76 80 84 88 Tiro medio: contorno cintura 72 86 80 84 88 92 Tiro bajo: contorno cintura 76 80 84 88 92 96 Contorno de cadera 92-94 96-98 100-102 104-106 110-112 116-118 Altura 158-162 162-166 166-170 170-174 176-178 178-182	No especificado	{}	{}	{}	['S', 'M', 'L']	
https://www.imanofficial.com/productos/corpino-simone/	No encontrado	No encontrado	Tela: lycra elastizada con incrustaciones de strass Descripción: Bikini de strass COLECCIÓN IMAN EXCLUSIVE	No especificado	{}	{}	{}	['S', 'M', 'L']	
https://www.imanofficial.com/productos/vestido-zaira/	No encontrado	No encontrado	Tela: Lycra liviana TALLE 34-XS 36-S 38-M 40-L 42-XL 44-XXL Contorno de busto 86-90 90-94 94-98 98-102 104-106 110-112 Tiro alto: contorno cintura 68 72 76 80 84 88 Tiro medio: contorno cintura 72 86 80 84 88 92 Tiro bajo: contorno cintura 76 80 84 88 92 96 Contorno de cadera 92-94 96-98 100-102 104-106 110-112 116-118 Altura 158-162 162-166 166-170 170-174 176-178 178-182	No especificado	{}	{}	{}	['S', 'M', 'L']	
https://www.imanofficial.com/productos/vestido-triangle/	No encontrado	No encontrado	Tela: Micro morley con pequeño brillo. TALLE 34-XS 36-S 38-M 40-L 42-XL 44-XXL Contorno de busto 86-90 90-94 94-98 98-102 104-106 110-112 Tiro alto: contorno cintura 68 72 76 80 84 88 Tiro medio: contorno cintura 72 86 80 84 88 92 Tiro bajo: contorno cintura 76 80 84 88 92 96 Contorno de cadera 92-94 96-98 100-102 104-106 110-112 116-118 Altura 158-162 162-166 166-170 170-174 176-178 178-182	No especificado	{}	{}	{}	['S', 'M', 'L']	
https://www.imanofficial.com/productos/top-trim-wild/	No encontrado	No encontrado	Tela: lycra elastizado TALLE 34-XS 36-S 38-M 40-L 42-XL 44-XXL Contorno de busto 86-90 90-94 94-98 98-102 104-106 110-112 Tiro alto: contorno cintura 68 72 76 80 84 88 Tiro medio: contorno cintura 72 86 80 84 88 92 Tiro bajo: contorno cintura 76 80 84 88 92 96 Contorno de cadera 92-94 96-98 100-102 104-106 110-112 116-118 Altura 158-162 162-166 166-170 170-174 176-178 178-182	No especificado	{}	{}	{}	['S', 'M', 'L']	
https://www.imanofficial.com/productos/vestido-verona/	No encontrado	No encontrado	Tela: lycra Elegante y sensual, este vestido largo destaca por su espalda descubierta y su caída fluida. Perfecto para eventos especiales, combina sofisticación y estilo en cada detalle. TALLE 34-XS 36-S 38-M 40-L 42-XL 44-XXL Contorno de busto 86-90 90-94 94-98 98-102 104-106 110-112 Tiro alto: contorno cintura 68 72 76 80 84 88 Tiro medio: contorno cintura 72 86 80 84 88 92 Tiro bajo: contorno cintura 76 80 84 88 92 96 Contorno de cadera 92-94 96-98 100-102 104-106 110-112 116-118 Altura 158-162 162-166 166-170 170-174 176-178 178-182	No especificado	{}	{}	{}	['S', 'M', 'L']	
https://www.imanofficial.com/productos/top-polera-simone/	No encontrado	No encontrado	Tela : lycra elastizada con incrustaciones de strass Tabla de talle TALLE 34-XS 36-S 38-M 40-L 42-XL 44-XXL Contorno de busto 86-90 90-94 94-98 98-102 104-106 110-112 Tiro alto: contorno cintura 68 72 76 80 84 88 Tiro medio: contorno cintura 72 86 80 84 88 92 Tiro bajo: contorno cintura 76 80 84 88 92 96 Contorno de cadera 92-94 96-98 100-102 104-106 110-112 116-118 Altura 158-162 162-166 166-170 170-174 176-178 178-182	No especificado	{}	{}	{}	['S', 'M', 'L']	
https://www.imanofficial.com/productos/vestido-saas/	No encontrado	No encontrado	Tela : Lycra Vestido largo off shoulder manga larga de lycra elastizada.	No especificado	{}	{}	{}	['S', 'M', 'L']	
https://www.imanofficial.com/productos/remera-v/	No encontrado	No encontrado	Tela: morley algodón TALLE 34-XS 36-S 38-M 40-L 42-XL 44-XXL Contorno de busto 86-90 90-94 94-98 98-102 104-106 110-112 Tiro alto: contorno cintura 68 72 76 80 84 88 Tiro medio: contorno cintura 72 86 80 84 88 92 Tiro bajo: contorno cintura 76 80 84 88 92 96 Contorno de cadera 92-94 96-98 100-102 104-106 110-112 116-118 Altura 158-162 162-166 166-170 170-174 176-178 178-182	No especificado	{}	{}	{}	['S', 'M', 'L']	
https://www.imanofficial.com/productos/top-lux/	No encontrado	No encontrado	Tela: Micro morley de fiesta con pequeño brillo Descripción: Top con polera y espalda descubierta con escote elastizado para mejor calce. Y piedras bordadas a mano en frente y espalda con efecto degradé TALLE 34-XS 36-S 38-M 40-L 42-XL 44-XXL Contorno de busto 86-90 90-94 94-98 98-102 104-106 110-112 Tiro alto: contorno cintura 68 72 76 80 84 88 Tiro medio: contorno cintura 72 86 80 84 88 92 Tiro bajo: contorno cintura 76 80 84 88 92 96 Contorno de cadera 92-94 96-98 100-102 104-106 110-112 116-118 Altura 158-162 162-166 166-170 170-174 176-178 178-182	No especificado	{}	{}	{}	['S', 'M', 'L']	
https://www.imanofficial.com/productos/gorro-de-piel/	No encontrado	No encontrado	Tela: piel sintética Colección Iman Exclusive Los gorritos de piel sintética ofrecen un toque de elegancia y calidez para los días fríos. Con un diseño suave y cómodo, son ideales para mantener tu estilo y protección durante todo el invierno. Disponibles en varios colores, estos gorros son el complemento perfecto para cualquier look.	No especificado	{}	{}	{}	['S', 'M', 'L']	
https://www.imanofficial.com/productos/vestido-trim-lux/	No encontrado	No encontrado	Tela: lycra El vestido trim es la prenda perfecta para deslumbrar en cualquier evento especial. Su suave textura y delicado brillo te harán sentir radiante y cómoda durante toda la noche. Detalles que enamoran: Silueta estilizada: El corte largo y la fluidez del tejido crean una silueta elegante y sofisticada que realza la figura femenina. Polera: La polera aporta un toque de distinción y elegancia, ideal para eventos formales o noches frescas. Espalda descubierta: Un detalle sensual y audaz que te hará sentir segura y atractiva. La espalda descubierta está unida por una tira elastizada con gancho metálico zamak, que garantiza un calce perfecto y seguro. Micro morley de fiesta: Este tejido, con su sutil brillo, aporta un aire festivo y glamuroso al vestido, perfecto para cualquier celebración. Calidad argentina: Confeccionado con los más altos estándares de calidad en Argentina, este vestido es una inversión que te acompañará en momentos inolvidables. LARGO POR TALLE (medida tomada desde el hombro) S: 141 cm / M: 142 cm / L: 143 cm / XL: 144 CM TALLE 34-XS 36-S 38-M 40-L 42-XL 44-XXL Contorno de busto 86-90 90-94 94-98 98-102 104-106 110-112 Tiro alto: contorno cintura 68 72 76 80 84 88 Tiro medio: contorno cintura 72 86 80 84 88 92 Tiro bajo: contorno cintura 76 80 84 88 92 96 Contorno de cadera 92-94 96-98 100-102 104-106 110-112 116-118 Altura 158-162 162-166 166-170 170-174 176-178 178-182	No especificado	{}	{}	{}	['S', 'M', 'L']	
https://www.imanofficial.com/productos/falda-sun/	No encontrado	No encontrado	Falda de lycra Es la opción perfecta para quienes buscan comodidad y estilo. Disponible en varios colores, es un básico versátil que no puede faltar en tu armario. Tabla de talle TALLE 34-XS 36-S 38-M 40-L 42-XL 44-XXL Contorno de busto 86-90 90-94 94-98 98-102 104-106 110-112 Tiro alto: contorno cintura 68 72 76 80 84 88 Tiro medio: contorno cintura 72 86 80 84 88 92 Tiro bajo: contorno cintura 76 80 84 88 92 96 Contorno de cadera 92-94 96-98 100-102 104-106 110-112 116-118 Altura 158-162 162-166 166-170 170-174 176-178 178-182	No especificado	{}	{}	{}	['S', 'M', 'L']	
